City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
207,Morgan City,US,29.7,-91.21,61.0,93,90,8.05,mist
208,Mehamn,NO,71.04,27.85,32.0,74,0,31.09,clear sky
209,Waipawa,NZ,-41.41,175.52,59.0,82,100,19.46,overcast clouds
210,Uri,IN,34.08,74.03,45.82,49,0,7.38,clear sky
211,Sioux Lookout,CA,50.1,-91.92,23.0,79,90,13.87,overcast clouds
212,Polessk,RU,54.86,21.1,33.01,91,0,4.47,clear sky
213,Marsta,SE,59.62,17.85,32.0,92,90,5.82,overcast clouds
214,Okhotsk,RU,59.38,143.3,4.17,85,100,15.41,overcast clouds
215,Lavrentiya,RU,65.58,-171.0,15.21,93,0,11.25,clear sky
216,Lazaro Cardenas,MX,17.96,-102.2,82.96,66,0,7.96,clear sky
217,Kruisfontein,ZA,-34.0,24.73,57.99,89,0,3.06,clear sky
218,Fort Nelson,CA,58.81,-122.7,28.4,74,75,4.7,broken clouds
219,Vilhena,BR,-12.74,-60.15,84.2,62,40,10.29,scattered clouds
220,Ogulin,HR,45.27,15.23,41.0,48,0,3.36,clear sky
221,Apex,US,35.73,-78.85,63.0,51,90,5.82,overcast clouds
222,Bonoua,CI,5.27,-3.6,82.4,83,20,5.82,few clouds
223,Hailar,CN,49.2,119.7,-1.35,91,36,6.04,scattered clouds
224,Semey,KZ,50.41,80.23,8.49,93,0,3.44,clear sky
225,Riyadh,SA,24.69,46.72,64.4,82,75,12.75,broken clouds
226,Xichang,CN,27.9,102.26,45.23,73,3,1.19,clear sky
227,Severo-Kurilsk,RU,50.68,156.12,29.7,92,100,6.71,light snow
228,Whitianga,NZ,-36.83,175.7,62.01,83,99,1.01,overcast clouds
229,Tura,IN,25.52,90.22,61.39,71,0,3.69,clear sky
230,Skagen,DK,57.72,10.58,36.0,89,100,7.0,overcast clouds
231,Wahiawa,US,21.5,-158.02,78.8,83,40,8.05,scattered clouds
232,Durban,ZA,-29.86,31.03,68.0,82,0,4.7,clear sky
233,Kathu,TH,7.92,98.33,84.0,83,20,8.05,few clouds
234,Bhongir,IN,17.51,78.89,69.01,94,75,4.7,broken clouds
235,Fairbanks,US,64.84,-147.72,10.99,76,40,3.36,scattered clouds
236,Ibiruba,BR,-28.63,-53.09,83.84,65,3,9.35,light rain
237,Iqaluit,CA,63.75,-68.51,-13.0,69,20,11.41,few clouds
238,Jardim,BR,-21.48,-56.14,99.84,25,68,3.6,broken clouds
239,Leshukonskoye,RU,64.9,45.76,18.82,96,100,8.16,overcast clouds
240,Arraial Do Cabo,BR,-22.97,-42.03,82.4,69,0,26.4,clear sky
241,Langsa,ID,4.47,97.97,73.76,92,99,1.5,overcast clouds
242,Castro,BR,-24.79,-50.01,75.34,73,85,1.74,heavy intensity rain
243,Karakol,KG,42.49,78.39,17.01,83,98,2.64,overcast clouds
244,Igarka,RU,67.47,86.58,4.23,94,100,15.77,light snow
245,Vila,PT,42.03,-8.16,51.01,83,71,5.99,broken clouds
246,Faanui,PF,-16.48,-151.75,81.16,76,4,8.59,clear sky
247,Longyearbyen,SJ,78.22,15.64,19.4,62,75,19.46,light snow
248,Igrim,RU,63.19,64.42,13.82,94,94,6.89,overcast clouds
249,Great Yarmouth,GB,52.61,1.73,46.0,93,90,4.7,haze
250,Diamantino,BR,-14.41,-56.45,92.77,41,54,4.63,broken clouds
251,Kindu,CD,-2.95,25.95,67.78,96,100,2.28,overcast clouds
252,Mayo,US,38.89,-76.51,57.0,54,1,11.41,clear sky
253,Ixtapa,MX,20.7,-105.2,80.6,69,5,9.17,clear sky
254,Yagodnoye,RU,62.55,149.67,-11.33,85,85,2.15,overcast clouds
255,Balabac,PH,7.99,117.06,81.25,78,100,8.77,overcast clouds
256,Katherine,AU,-14.47,132.27,82.4,69,0,5.82,clear sky
257,Methoni,GR,36.82,21.7,55.99,87,100,3.36,moderate rain
258,Taoudenni,ML,22.68,-3.98,70.7,23,92,6.08,overcast clouds
